0.00000000e+000	4.80886128e-001	
1.66722241e-002	4.80607297e-001	
3.33444481e-002	4.80353784e-001	
5.00166722e-002	4.80125628e-001	
6.66888963e-002	4.79922866e-001	
8.33611204e-002	4.79745530e-001	
1.00033344e-001	4.79593649e-001	
1.16705569e-001	4.79467245e-001	
1.33377793e-001	4.79366341e-001	
1.50050017e-001	4.79290951e-001	
1.66722241e-001	4.79241088e-001	
1.83394465e-001	4.79216759e-001	
2.00066689e-001	4.79217969e-001	
2.16738913e-001	4.79244717e-001	
2.33411137e-001	4.79733440e-001	
2.50083361e-001	4.80412059e-001	
2.66755585e-001	4.81109037e-001	
2.83427809e-001	4.81824295e-001	
3.00100033e-001	4.82557752e-001	
3.16772257e-001	4.83309325e-001	
3.33444481e-001	4.84078929e-001	
3.50116706e-001	4.84866479e-001	
3.66788930e-001	4.85671887e-001	
3.83461154e-001	4.84406529e-001	
4.00133378e-001	4.83046002e-001	
4.16805602e-001	4.81695017e-001	
4.33477826e-001	4.80353654e-001	
4.50150050e-001	4.79148412e-001	
4.66822274e-001	4.78098925e-001	
4.83494498e-001	4.77063426e-001	
5.00166722e-001	4.76042005e-001	
5.16838946e-001	4.75034755e-001	
5.33511170e-001	4.74041764e-001	
5.50183394e-001	4.73063123e-001	
5.66855619e-001	4.72098922e-001	
5.83527843e-001	4.71149249e-001	
6.00200067e-001	4.70214191e-001	
6.16872291e-001	4.69293836e-001	
6.33544515e-001	4.68388272e-001	
6.50216739e-001	4.67497583e-001	
6.66888963e-001	4.66621855e-001	
6.83561187e-001	4.65761173e-001	
7.00233411e-001	4.64915619e-001	
7.16905635e-001	4.64085278e-001	
7.33577859e-001	4.63270230e-001	
7.50250083e-001	4.62470556e-001	
7.66922307e-001	4.61686336e-001	
7.83594532e-001	4.60917649e-001	
8.00266756e-001	4.60164573e-001	
8.16938980e-001	4.59427185e-001	
8.33611204e-001	4.58705561e-001	
8.50283428e-001	4.57999774e-001	
8.66955652e-001	4.57216090e-001	
8.83627876e-001	4.55810470e-001	
9.00300100e-001	4.54411426e-001	
9.16972324e-001	4.53019018e-001	
9.33644548e-001	4.51633308e-001	
9.50316772e-001	4.50254357e-001	
9.66988996e-001	4.48882228e-001	
9.83661220e-001	4.47516984e-001	
1.00033344e+000	4.46158687e-001	
1.01700567e+000	4.44807402e-001	
1.03367789e+000	4.43463192e-001	
1.05035012e+000	4.42126123e-001	
1.06702234e+000	4.40796258e-001	
1.08369456e+000	4.39473664e-001	
1.10036679e+000	4.38158406e-001	
1.11703901e+000	4.36850551e-001	
1.13371124e+000	4.35550165e-001	
1.15038346e+000	4.34257315e-001	
1.16705569e+000	4.33140464e-001	
1.18372791e+000	4.32615971e-001	
1.20040013e+000	4.32096869e-001	
1.21707236e+000	4.31583176e-001	
1.23374458e+000	4.31074912e-001	
1.25041681e+000	4.30572096e-001	
1.26708903e+000	4.30074747e-001	
1.28376125e+000	4.29582884e-001	
1.30043348e+000	4.29096527e-001	
1.31710570e+000	4.28615693e-001	
1.33377793e+000	4.28140401e-001	
1.35045015e+000	4.27670671e-001	
1.36712237e+000	4.27206519e-001	
1.38379460e+000	4.26747965e-001	
1.40046682e+000	4.26295027e-001	
1.41713905e+000	4.25847721e-001	
1.43381127e+000	4.25406067e-001	
1.45048349e+000	4.24128693e-001	
1.46715572e+000	4.22796857e-001	
1.48382794e+000	4.21467886e-001	
1.50050017e+000	4.20141806e-001	
1.51717239e+000	4.18818643e-001	
1.53384461e+000	4.17498427e-001	
1.55051684e+000	4.16181185e-001	
1.56718906e+000	4.14866946e-001	
1.58386129e+000	4.13555738e-001	
1.60053351e+000	4.12247589e-001	
1.61720574e+000	4.10942530e-001	
1.63387796e+000	4.09640589e-001	
1.65055018e+000	4.08341798e-001	
1.66722241e+000	4.07046184e-001	
1.68389463e+000	4.05753780e-001	
1.70056686e+000	4.04464616e-001	
1.71723908e+000	4.03178723e-001	
1.73391130e+000	4.01896133e-001	
1.75058353e+000	4.00616876e-001	
1.76725575e+000	3.99340986e-001	
1.78392798e+000	3.98068494e-001	
